禾苗沐浴在温暖的阳光里,1
这力量是铁,1
张开理想的翅膀。,1
就算他是黄鼠狼，咱们也得开门让他进来,1
年轻的时候，我也曾经以为自己是风，可是最后遍体鳞伤。,0
成功的花儿，其间浸透了奋斗的泪水和汗水,1
听了这个演讲，他感觉自己的心被点燃了。,1
他能罩住这场面,1
小人嘴里最容易放屁。,0
羁旅漂泊的游子就会萌发起回家的心愿。,0
这些诗篇浸透着诗人眷恋祖国的深情,1
你是我的小心肝,1
科学是人类进步的长梯,1
我在知识的海洋中畅游。,1
邪教组织在社会上放毒宣传歪理邪说,0
老张特别欣赏那个下属,1
科学的春风开始吹拂神州大地。,1
她扑到床上，抱起那孩子偎在怀里，便像一尊石像似的靠在床前的停火小桌子旁边,0
责任是风雨中共同撑起的一把伞,1
你就像个软蛋。,0
这些都是送分题。,1
老师是红烛，点燃自己照亮别人,1
疯狂如无形的洪水,0
上海像一颗闪耀的明珠屹立在世界上。,1
在骄阳下用流光膨胀着饱满的梦想。,1
清晨，薄雾如轻纱般笼罩了我们的校园,1
闲余时间决定事业的高度,1
她感叹道 “普罗旺斯就是花的海洋。”,1
他的笑容浮在脸上。,1
人们如同置身在五彩缤纷的花的海洋。,1
当太阳横过西方的海面时，对着东方留下他最后的敬礼。,1
小张总爱挑事,0
在所有的批评中，最伟大、最正确、最天才的是时间。,1
一些年轻人认为恋爱是种负担。,0
为了整顿纪律，领导决定先从迟到、早退现象开刀,1
她的鲜血在雪中绽放，像一朵朵怒放的梅花,1
我警醒的感官总是不由自主全涌向他。,0
这场战争由总统亲自操刀,0
黄河长江流域是中华文明的摇篮。,1
梦想还漂浮在遥远的未来。,1
社会的变革是人类的进步,1
你应该学会放手这段感情,0
篮球场上局面如同古代战争的阵势，兵来将挡水来土掩，杀得天翻地覆。,0
遵义会议是中国共产党历史上一个生死攸关的转折点。,1
那些卑微的生命，都沉重的敲击着他那颗晶莹剔透的心,0
毛主席永远在放射着光芒。,1
对于这一类人，很多人称他们为社会的寄生虫,0
只有有着数千年灿烂文化的民族，只有善于吸取人类创造的全部文明成果、为新的世界观武装起来的先进政党，才可能孕育出这种文明的典范。,1
马航MH370的失联牵动着世界各国的心。,0
乌云笼罩着整座城市。,0
旦夕之间，情知对于生命的千般流转，就像旅途中的转经轮，尽须付与无尽的忍爱。,0
蓝色制服一尘不染，折缝犹如刀锋,1
这草率的行为简直是灾难,0
海量的祝福早已把你淹没,1
鸿渐气得心头火直冒，仿佛会把嘴里香烟衔着的一头都烧红了,0
两只炯炯发光的、流露出傲慢神情的眼睛统治着他的整个面部。,0
她的性格像火一样。,1
他发起火来像狮子一样。,0
纳兰的心一点一点融化在她心的暖风里,1
昨夜纷飞的大雪给校园里的树木裹上了一层冬装。,1
在苏州，在大连，不是有许多“下海”的教师开始要求回校任教吗？在上海，在北京，出国留学人员学成回国的人数也在逐年增多。,1
音乐凝固成小镇的建筑,1
同学们沉醉在节日的欢乐中。,1
祥子的脸忽然红得像包着一团火。,0
等他把我的车开过来时，我感觉肩上的行李就像一袋铅块。,0
小明把自己打扮成了一只花蝴蝶,0
他们在业务中都很守信用,1
语言是一种文化的路线图。,1
不乏一种对生活展现出的种种憧憬的高度感应能力，宛如他身上接通了一架能测出万里之外的地震的精密机器。,1
人生是一座富矿，有待于自身去开采。,1
他悄悄渗透到了敌方内部,1
多年来，中国传统医药产品正式进入欧美市场几乎成为中国几代药物专家的梦想。,1
繁华刚刚落幕，寂寞又开始上演,0
这本书像阳光温暖了我,1
一想起你，我这张丑脸上就泛起微笑。,1
那个郡书记官是个大懒虫,0
我们邻居和局长攀上亲家了,0
如果你是蜜蜂，我们甘当你采蜜的花朵,1
辛锐的阴郁已经挂在了脸上了。,0
美感的记忆，是人走向天堂必备的最重要的密钥,1
各种经济活动都被卷入市场经济的漩涡。,0
我们所做的一切，都是捕捉的风,0
哈姆雷特默然忍受命运的暴虐的毒箭,0
青春是一串银铃般的笑声，在校园的上空回荡。,1
他喜欢在咖啡馆泡妞,0
刺猬的身体如同一个长满了钢针的小圆球。,0
秋湖上荡漾着红叶一片，如一叶扁舟,1
他的解释过于苍白。,0
他的头顶是一片大草原,0
他的生命之舟被理想的风帆推向胜利的彼岸。,1
地球是我们的母亲。,1
长江犹如一曲奔腾的乐章,1
根据这位投诚军官提供的线索司令部把握住了战机,1
酸楚的泪滴也会折射出绚丽的色彩,1
他的品行像钻石一样闪光。,1
梵高的画上的绝大部分的线条如银蛇般游走,1
你是遥不可及的天堂。,1
不忘群众疾苦温暖送进万家,1
手机就是一个图书馆,1
他心里像抹了蜜一样甜。,1
回忆是一条没有归途的路,0
我要杀一杀他的威风,0
杀死我心中懒惰的念头。,1
穿越万千残酷的大海，如太阳一般灿烂的船,1
生活欺骗了我。,0
他的心思随窗口的明月飘远了,0
爱原来是一种酒，饮了就化作思念。,0
雪花纷纷扬扬，如同柳絮一样在空中飞舞。,0
别有用心之人制造事端,0
张先生在这本书里提了好几个新观点,1
军民携手同洪水进行了顽强的搏斗,1
方鸿渐自信对她的情谊到此而止，好比两条平行的直线，无论彼此距离怎么近，拉得怎么长，终合不拢,0
